"BUAH HAW (HAWTHORN BERRY)",No,No,Aktif
"BUAH KERING (DRIED FRUIT)",No,No,Aktif
"Buah Kesemek",No,No,Aktif
"Buah Kundur",No,No,Aktif
"Buah Leci (Lychee)",No,No,Aktif
"Buah Leci Bubuk (Lychee Powder)",No,No,Aktif
"Buah Mulberry (Mulberry)",No,No,Aktif
"Buah Naga (Dragonfruit)",No,No,Aktif
"Buah Pala (Myristica Fragran)",No,No,Aktif
"BUAH PAW PAW (ASIMINA TRILOBA)",No,No,Aktif
"Buah Pepaya (Papaya)",No,No,Aktif
"Buah Pepaya Kuning (Golden Papaya)",No,No,Aktif
"Buah Pepaya Merah (Red Papaya)",No,No,Aktif
"Buah Persik (Peach)",No,No,Aktif
"Buah Prickly pear/Opuntia/Nopal",No,No,Aktif
"Buah Prune (Prune)",No,No,Aktif
"Buah Prune Kering (Dried Prune)",No,No,Aktif
"BUAH RASPBERRY (FRAMBOZEN)",No,No,Aktif
"Buah Redcurrant (Redcurrant)",No,No,Aktif
"Buah Stroberi (Strawberry)",No,No,Aktif
"Buah Stroberi Bubuk (Strawberry Powder)",No,No,Aktif
"Buah Sukun (Breadfruit)",No,No,Aktif
"Buah Zaitun (Olive)",No,No,Aktif
"Buah Zaitun Hijau (Green Olive)",No,No,Aktif
"Buah Zaitun Hijau Tanpa Biji (Seedless Green Olive)",No,No,Aktif
"Buah Zaitun Hitam (Black Olive)",No,No,Aktif
"Buah Zaitun Hitam Tanpa Biji (Seedless Black Olive)",No,No,Aktif
"Buah Zaitun Kalamata (Kalamata Olive)",No,No,Aktif
"Buah Zukini (Zucchini atau Courgette)",No,No,Aktif
"Bubuk Ayam (maltodextrin, garam, bubuk kaldu ayam)",No,No,Nonaktif
"Bubuk Buih",No,No,Nonaktif
"Bubuk campuran buah dan sayur (Blend of Fruit and Vegetable Powders)",No,No,Aktif
"Bubuk Custard (Susu Bubuk, Gula, Lemak Nabati, Pati Tapioka, Maltodekstrin)",No,No,Nonaktif
"Bubuk Ekstrak Pizza ",No,No,Nonaktif
"Bubuk Ekstrak Tulang Sapi (Ekstrack tulang sapi, Garam)",No,No,Nonaktif
"Bubuk jahe",No,No,Nonaktif
"Bubuk kecap (kedelai, garam, tepung)",No,No,Nonaktif
"Bubuk Kelapa",No,No,Nonaktif
