"Tepung Bumbu (Seasoning Powder)","Bahan Baku",NO,NO,NO,YES
"Tepung Bumbu Ayam Goreng (Fried Chicken Seasoning Powder)","Bahan Baku",NO,NO,NO,YES
"TEPUNG DHAL (HUSKED DEW GRAM FLOUR)","Bahan Baku",NO,NO,NO,YES
"TEPUNG DURUM ","Bahan Baku",NO,NO,NO,YES
"Tepung Gandum (Wheat Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Gandum Hitam (Rye Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Gandum Hitam Terfermentasi (Fermented Rye Flour)","Bahan Baku",NO,NO,NO,YES
"TELUR (EGG)","Bahan Baku",NO,YES,NO,YES
"TELUR ASIN (SALTED EGG)","Bahan Baku",NO,NO,NO,YES
"TELUR AYAM (CHICKEN EGG)","Bahan Baku",NO,NO,NO,YES
"TELUR AYAM NEGERI UTUH","Bahan Baku",NO,NO,NO,NO
"TELUR BEBEK (DUCK EGG)","Bahan Baku",NO,NO,NO,YES
"Telur Bubuk (Whole Egg Powder)","Bahan Baku",NO,NO,NO,YES
"Telur Ikan (Fish Egg)","Bahan Baku",NO,NO,NO,YES
"Telur Puyuh (Quail Egg)","Bahan Baku",NO,NO,NO,YES
"TEMBAGA GLUKONAT (COPPER GLUCONAT)","Bahan Baku",NO,NO,NO,YES
"Tembaga Sulfat (Copper Sulfate)","Bahan Baku",NO,NO,NO,YES
Tempe,"Bahan Baku",NO,NO,NO,YES
"Tempe Goreng (Fried Tempe)","Bahan Baku",NO,NO,NO,YES
"TEMPE MATANG","Bahan Baku",NO,NO,NO,NO
"Tempura (Tempura)","Bahan Baku",NO,NO,NO,YES
"TEMU KUNCI (CURCUMA ROTUNDA, BOESENBERGIA ROTUNDA (L) MANSF)","Bahan Baku",NO,NO,NO,YES
"TEMULAWAK (CURCUMA XANTHORRHIZA)","Bahan Baku",NO,NO,NO,YES
"TEPUNG AGAR-AGAR (AGAR-AGAR POWDER)","Bahan Baku",NO,NO,NO,NO
"Tepung Amaranth","Bahan Baku",NO,NO,NO,YES
"TEPUNG ARARUT/TEPUNG GARUT (ARROWROOT FLOUR)","Bahan Baku",NO,NO,NO,YES
"Tepung Aren (Sugar Palm Powder)","Bahan Baku",NO,NO,NO,YES
"Tepung Barley (Barley Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Barley Malt (Barley Malt Flour)","Bahan Baku",NO,NO,NO,YES
"TEPUNG BATTER","Bahan Baku",NO,NO,NO,YES
"Teh Bubuk (Tea Powder)","Bahan Baku",NO,NO,NO,YES
"Teh Earl Grey (Earl Grey Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Hijau (Green Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Hijau Bubuk (Green Tea Powder)","Bahan Baku",NO,NO,NO,YES
"Teh Hijau Melati (Green Tea Jasmine)","Bahan Baku",NO,NO,NO,YES
"Teh Hijau Panggang (Roasted Green Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Hitam (Black Tea Leaf)","Bahan Baku",NO,NO,NO,YES
"Teh Hitam Ceylon (Black Tea Ceylon)","Bahan Baku",NO,NO,NO,YES
"Teh Hitam Melati (Jasmine Black Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Instan (Instant Tea)","Bahan Baku",NO,NO,NO,YES
"TEH JAWA (ORTHOSIPHON STAMINEUS; ORTHOSIPHON ARISTATUS; ORTHOSIPHON SPICATUS; ORTHOSIPHONBLAETTER; JAVATEE, INDISCHER NIERENTEE, FEUILLES DE BARBIFLORE; DE JAVA)","Bahan Baku",NO,NO,YES,NO
"TEH KERING (DRIED TEA)","Bahan Baku",NO,NO,NO,NO
"Teh Melati (Jasmine Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Oolong (Oolong Tea)","Bahan Baku",NO,NO,NO,YES
"Teh Putih (White Tea)","Bahan Baku",NO,NO,NO,YES
"TEH ROOIBOSA (ASPHALATUS LINEARIS)","Bahan Baku",NO,NO,NO,YES
"Serbuk Kale (Brassica Oleracea L.var. acephala)","Bahan Baku",NO,NO,NO,YES
"Serbuk Minuman","Bahan Baku",NO,NO,YES,YES
"Serbuk Sari (Pollen)","Bahan Baku",NO,NO,NO,YES
"Sereal (Cereal)","Bahan Baku",NO,NO,NO,YES
"Sereal Beras (Rice Cereal)","Bahan Baku",NO,NO,NO,YES
"Sereal Gandum (Wheat Cereal)","Bahan Baku",NO,NO,NO,YES
"Sereal Gandum Utuh (Whole Wheat Cereal)","Bahan Baku",NO,NO,NO,YES
"Sereal Jagung (Corn Cereal)","Bahan Baku",NO,NO,NO,YES
"Serealia (Cerealia)","Bahan Baku",NO,NO,NO,YES
"SEREH (LEMON GRASS-CYMBOPOGON NARDUS)","Bahan Baku",NO,NO,NO,YES
"Sereh Bubuk (Lemongrass Powder)","Bahan Baku",NO,NO,NO,YES
"SERPIHAN KENTANG (POTATO FLAKES)","Bahan Baku",NO,NO,NO,YES
"Serundeng Ikan (Fish Serundeng)","Bahan Baku",NO,NO,NO,YES
"Silver Needle-yingzhen (white tea)","Bahan Baku",NO,NO,NO,YES
"SINGKONG - UBI KAYU (CASSAVA)","Bahan Baku",NO,NO,NO,YES
"Singkong Bubuk (Cassava Powder)","Bahan Baku",NO,NO,NO,YES
SIOMAY,"Bahan Baku",YES,NO,NO,NO
"SIRIH (BETEL)","Bahan Baku",NO,NO,NO,NO
"SIRIH EKSTRAK (PIPER BETLE L.)","Bahan Baku",NO,NO,NO,NO
"Sirip Ikan Hiu (Shark Fins)","Bahan Baku",NO,NO,NO,YES
"Sirsak (Soursop)","Bahan Baku",NO,NO,NO,YES
"Sirup (Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Agave (Agave Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Anggur (Grape Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Barley Malt (Barley Malt Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Beras (Rice Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Beras Merah (Brown Rice Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Cokelat Malt (Chocolate Malt Syrup)","Bahan Baku",NO,NO,NO,YES
"Sirup Fruktosa (Fructose Syrup)","Bahan Baku",NO,NO,NO,YES
