release,date,author,status,maturity,version,first,distribution,abstract
App-lcpan-Manual-1.062.000,2021-07-29T00:06:18,PERLANCAR,cpan,released,1.062.000,,App-lcpan-Manual,"Manual for App::lcpan"
Rex-Hook-File-Impostor-v0.2.0,2021-07-28T20:06:06,FERKI,latest,released,v0.2.0,,Rex-Hook-File-Impostor,"execute Rex file management commands on a copy of the managed path"
List-Utils-MoveElement-0.03,2021-07-28T19:19:05,DSTROMA,latest,released,0.03,,List-Utils-MoveElement,"Move elements of a list, optionally with XS."
Mac-OSVersion-1.006,2021-07-28T17:20:13,BDFOY,latest,released,1.006,,Mac-OSVersion,"Get the Mac OS X or macOS system version"
UV-2.000,2021-07-28T16:28:16,PEVANS,latest,released,2.000,,UV,"Perl interface to libuv"
Workflow-1.56,2021-07-28T16:25:43,JONASBN,latest,released,1.56,,Workflow,"Simple, flexible system to implement workflows"
OpenMP-Environment-1.1.0,2021-07-28T16:24:16,OODLER,latest,released,1.1.0,,OpenMP-Environment,"Perl extension managing OpenMP variables in %ENV within a script."
App-DBBrowser-2.277,2021-07-28T14:45:30,KUERBIS,backpan,released,2.277,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Term-Choose-Util-0.129,2021-07-28T14:30:04,KUERBIS,cpan,released,0.129,,Term-Choose-Util,"TUI-related functions for selecting directories, files, numbers and subsets of lists."
Mojo-Leds-1.02,2021-07-28T14:01:51,EBRUNI,cpan,released,1.02,,Mojo-Leds,"Leds aka Light Environment (emi) for Development System based on Mojolicious"
File-Symlink-Relative-0.004_01,2021-07-28T13:04:38,WYANT,backpan,developer,0.004_01,,File-Symlink-Relative,"Create relative symbolic links"
Getopt-EX-Hashed-0.9902,2021-07-28T10:19:07,UTASHIRO,cpan,released,0.9902,,Getopt-EX-Hashed,"Hash store object automation"
App-Phoebe-4.01_00,2021-07-28T06:38:09,SCHROEDER,cpan,developer,4.01,1,App-Phoebe,"a Gemini-based wiki"
Text-PO-v0.1.2,2021-07-28T06:21:18,JDEGUEST,cpan,released,v0.1.2,,Text-PO,"Read and write PO files"
Mac-OSVersion-1.005,2021-07-28T06:19:44,BDFOY,backpan,released,1.005,,Mac-OSVersion,"Get the Mac OS X or macOS system version"
